condition,sqft_living,floors,bedrooms,price
3,124,1.5,3,7.3
5,339,2,5,31.5
4,179,1,3,9.2
4,186,1,3,11
4,180,1,4,11.8
3,82,1,2,4.4
3,125,1,2,7.8
3,252,2,4,18.8
4,226,1,3,14.6
3,141,1.5,4,10
3,159,1,3,11.7
5,271,1.5,4,21.3
3,216,1,3,13.6
4,101,1,3,7.7
3,270,1.5,5,21.2
4,111,1,3,8.3
4,146,1,3,9.7
3,289,2,4,24
3,127,1,3,8
3,110,1,3,7.9
5,208,2,3,17.4
4,135,1,4,8.3
3,163,2.5,3,14.5
3,254,2,4,18.9
3,149,1,4,9.6
4,194,1,3,12.2
4,219,1,3,14.2
5,204,1.5,4,19
3,262,2,5,23
4,242,1,3,15.5
4,145,1,4,10.2
3,266,2,4,20
3,169,1.5,4,9
3,262,2,4,22.5
3,337,1.5,4,28.7
3,301,2,3,30.4
4,74,1,2,4.5
4,172,1,3,9
5,182,1,3,10.5
4,222,1,3,14.4
4,147,1,3,10.3
4,137,1,4,8.5
4,79,1,2,4.7
3,164,2,3,11
2,112,1,2,7
3,108,1,3,7.3
4,183,2,3,12
3,179,2,3,11.3
3,118,3,3,11.6
3,308,2,4,19.4
3,252,2,4,14.6
3,270,1.5,3,12.7
4,252,1.5,3,18.7
3,167,1,3,6.6
3,205,1,5,10.9
4,178,1,4,10
3,203,1,4,11.4
3,340,2,5,18.2
3,123,2,3,8.9
3,151,2,2,6.8
3,308,2,4,12.9
3,249,2,3,10.7
3,254,1,4,14.5
3,236,2,3,7
3,271,2,4,14.5
3,84,1,2,12.8
4,153,1,3,8.8
4,94,1,3,7.2
3,249,1,2,18
5,204,1,3,12
3,235,2,4,7.1
3,265,2,3,20.3
3,212,1,4,12
3,177,2,3,13
3,124,1,3,6.4
3,118,2,2,8.5
4,202,2,4,14.7
3,254,2,4,17.5
4,197,1,4,10
3,231,2,3,6.8
3,185,1,4,12
3,343,2,4,30
5,236,1,2,10.6
4,167,1,3,6.8
4,217,1,4,14.2
2,196,1,2,9
5,106,1,2,7.4
3,137,2.5,3,14.4
3,131,2,2,9.4
4,111,1,2,8.4
4,295,2,5,30.2
4,201,1,3,11.2
4,271,2.5,6,17
4,218,1.5,3,15.4
4,145,1,3,10.1
4,255,1,5,11.3
3,156,3,3,15.5
3,287,1,5,20
3,131,3,3,11.9
5,373,2,5,35
3,295,2,4,30
3,187,1,3,12.4
3,124,1,3,6.4
3,220,2,4,17.3
4,171,1,5,7.2
3,270,2,4,14.3
3,192,1,4,12
3,403,2.5,4,37.8
3,78,1,2,4.5
3,115,1,4,7.6
3,129,1,4,6.7
3,215,2,4,16
3,98,1,3,5
5,237,1,5,11
3,187,1.5,4,22.1
4,104,1.5,5,9.9
3,207,2,3,12
5,75,1,2,4.8
3,296,1,5,27.1
4,155,1,3,8.9
5,183,1,4,12.4
4,135,1,3,8.1
3,1258,3,7,60.4
3,175,2,3,12.7
4,175,1,3,9.7
4,131,1.5,3,7.8
5,137,1.5,4,12
4,106,1.5,2,8.9
3,178,1,3,10.8
3,270,2,4,14.3
3,301,2,3,30.4
4,144,1,3,10.1
3,190,1,5,11.4
3,206,2,2,17.4
3,164,1.5,2,8
4,214,1,4,14
4,167,1,3,6.8
3,187,1,4,12.7
3,166,2,3,8.7
3,227,2,4,11
3,180,2,3,13.2
3,108,2,2,9.7
3,316,2,4,15
3,411,2,4,20.3
3,146,3,3,18
3,151,2.5,3,18.1
3,131,3,3,12.3
3,282,2,3,13.3
3,417,2,5,34.2
3,187,1.5,4,22.1
